gender,age,ref_total,ref_wages,ref_cg,ref_other,total_income,wages,capital_gains,other_income,err_total,err_wages,err_cg,err_other,age_bin
Female,92,6182000.0,24000.0,935000.0,5222000.0,5332749.64021164,4534.989417989418,882901.9153439153,4445312.735449735,-849250.3597883601,-19465.010582010582,-52098.084656084655,-776687.2645502649,"[90, 120)"
Female,93,6182000.0,24000.0,935000.0,5222000.0,5281366.857954546,4554.710227272727,872191.2840909091,4404620.863636363,-900633.1420454541,-19445.289772727272,-62808.71590909094,-817379.1363636367,"[90, 120)"
Female,94,6182000.0,24000.0,935000.0,5222000.0,5266482.068181818,4471.280303030303,871455.4924242424,4390555.295454546,-915517.9318181816,-19528.719696969696,-63544.50757575757,-831444.7045454541,"[90, 120)"
Female,95,6182000.0,24000.0,935000.0,5222000.0,5243713.684782608,4486.152173913043,861070.8804347826,4378156.652173913,-938286.3152173916,-19513.847826086956,-73929.1195652174,-843843.3478260869,"[90, 120)"
Female,96,6182000.0,24000.0,935000.0,5222000.0,5163184.163934426,4435.459016393443,846669.2950819673,4312079.409836066,-1018815.8360655736,-19564.54098360656,-88330.70491803274,-909920.590163934,"[90, 120)"
Female,97,6182000.0,24000.0,935000.0,5222000.0,5051400.541666667,4390.5625,849493.3125,4197516.666666667,-1130599.458333333,-19609.4375,-85506.6875,-1024483.333333333,"[90, 120)"
Female,98,6182000.0,24000.0,935000.0,5222000.0,5080606.666666667,4417.333333333333,860096.7142857143,4216092.619047619,-1101393.333333333,-19582.666666666668,-74903.28571428568,-1005907.3809523806,"[90, 120)"
Female,99,6182000.0,24000.0,935000.0,5222000.0,4989401.625,4479.1875,835729.25,4149193.1875,-1192598.375,-19520.8125,-99270.75,-1072806.8125,"[90, 120)"
Female,100,6182000.0,24000.0,935000.0,5222000.0,5079397.818181818,4487.0,829617.1818181818,4245293.636363637,-1102602.1818181816,-19513.0,-105382.81818181823,-976706.3636363633,"[90, 120)"
Female,101,6182000.0,24000.0,935000.0,5222000.0,4997974.4,4310.8,850481.7,4143181.9,-1184025.5999999996,-19689.2,-84518.30000000005,-1078818.1,"[90, 120)"
Female,102,6182000.0,24000.0,935000.0,5222000.0,4931740.0,3942.0,938156.0,3989642.0,-1250260.0,-20058.0,3156.0,-1232358.0,"[90, 120)"
Female,103,6182000.0,24000.0,935000.0,5222000.0,5040759.0,4253.0,774556.0,4261950.0,-1141241.0,-19747.0,-160444.0,-960050.0,"[90, 120)"
Female,104,6182000.0,24000.0,935000.0,5222000.0,4385544.5,4180.5,754555.5,3626808.5,-1796455.5,-19819.5,-180444.5,-1595191.5,"[90, 120)"
